nama_instansi,nama_satuan_kerja,tahun_anggaran,cara_pengadaan,metode_pengadaan,jenis_pengadaan,nama_paket,kode_rup,sumber_dana,produk_dalam_negeri,total_nilai
PROVINSI DKI JAKARTA,KELURAHAN BALI MESTER - JAKTIM - 7.01.0.00.0.00.05.0039,2026,Penyedia,E-Purchasing,Barang,Belanja Makanan dan Minuman Rapat (Sidang Kelompok),63712433,APBD,Ya,7800000
PROVINSI DKI JAKARTA,SUKU BADAN KESATUAN BANGSA DAN POLITIK KABUPATEN ADMINISTRASI KEPULAUAN SERIBU - 8.01.0.00.0.00.01.0006,2026,Penyedia,E-Purchasing,Barang,Belanja Pakaian Olahraga kegiatan Seleksi Tingkat Provinsi Pembentukan Paskibraka,62481041,APBD,Ya,9534336
PROVINSI DKI JAKARTA,DINAS LINGKUNGAN HIDUP - 2.11.0.00.0.00.01.0000,2026,Swakelola,-,-,Penyediaan Jasa Pendampingan Pelaksanaan Kegiatan,42211389,APBD,-,98600000
PROVINSI DKI JAKARTA,SUKU DINAS SUMBER DAYA AIR KOTA ADMINISTRASI JAKARTA BARAT - 1.03.0.00.0.00.02.0003,2026,Penyedia,Pengadaan Langsung,Jasa Konsultansi,Pengadaan Konsultan Pengawas (12) Kegiatan Pengelolaan dan Pengembangan Sistem Drainase Beserta Kelengkapannya di Wilayah Jakarta Barat Tahun 2026,65020398,APBD,Ya,36400000
PROVINSI DKI JAKARTA,SUKU DINAS SUMBER DAYA AIR KOTA ADMINISTRASI JAKARTA TIMUR - 1.03.0.00.0.00.02.0005,2026,Penyedia,E-Purchasing,Pekerjaan Konstruksi,Pekerjaan Pemeliharaan Turap Saluran PHB Cipinang Jaya RW. 004 Kel. Cipinang Muara Kec. Jatinegara,67265621,APBD,Ya,559307778
PROVINSI DKI JAKARTA,KELURAHAN SRENGSENG - JAKBAR - 7.01.0.00.0.00.03.0013,2026,Penyedia,E-Purchasing,Barang,Penyediaan Kelengkapan Penunjang Kerja Jumantik Kelurahan Srengseng,61828237,APBD,Ya,50400000
PROVINSI DKI JAKARTA,RUMAH SAKIT UMUM DAERAH KRAMAT JATI - 1.02.0.00.0.00.01.0077,2026,Penyedia,E-Purchasing,Jasa Lainnya,Pemeliharaan Hepafilter,64466708,BLUD,Ya,39984000
PROVINSI DKI JAKARTA,SUKU DINAS KEPENDUDUKAN DAN PENCATATAN SIPIL KABUPATEN ADMINISTRASI KEPULAUAN SERIBU - 2.12.0.00.0.00.01.0006,2026,Penyedia,E-Purchasing,Barang,Penyediaan Bahan Logistik Kantor,64363656,APBD,Ya,7800000
PROVINSI DKI JAKARTA,DINAS PARIWISATA DAN EKONOMI KREATIF - 3.26.0.00.0.00.01.0000,2026,Penyedia,Pengadaan Langsung,Jasa Lainnya,Penyediaan Tenaga Ahli Desainer Grafis 1,62646366,APBD,Ya,122100000
PROVINSI DKI JAKARTA,KELURAHAN MENTENG ATAS - JAKSEL - 7.01.0.00.0.00.04.0058,2026,Penyedia,E-Purchasing,Barang,Penyediaan Konsumsi Rapat LMK,63402301,APBD,Ya,11440000
